date, pm10, o3, no2, so2, co
2018/9/18, 20, 41, , 2, 
2018/9/19, 26, 41, , 2, 
2018/9/20, 26, 52, , 2, 
2018/9/21, 34, 40, , 1, 
2018/9/22, 10, 28, , 1, 
2018/9/23, 7, 27, , 1, 
2018/9/24, 8, 24, , 1, 
2018/9/25, 17, 30, , 1, 
2018/9/26, 15, 30, , 2, 
2018/9/27, 20, 29, , 1, 
2018/9/28, 15, 18, , 3, 
2018/9/29, 25, 10, , 2, 
2018/9/30, 23, 27, , 2, 
2018/4/1, 24, 37, , 2, 
2018/4/2, 20, 35, , 2, 
2018/4/3, 13, 37, , 1, 
2018/4/4, 23, 31, , 1, 
2018/4/5, 20, 27, , 2, 
2018/4/6, 31, 36, , 3, 
2018/4/7, 44, 35, , 1, 
2018/4/8, 30, 37, , 1, 
2018/4/9, 30, 34, , 1, 
2018/4/10, 25, 33, , 1, 
2018/4/11, 30, 38, , 3, 
2018/4/12, 37, 36, , 1, 
2018/4/13, 30, 44, , 1, 
2018/4/14, 22, 40, , 1, 
2018/4/15, 27, 33, , , 
2018/4/16, 36, 30, , , 
2018/4/17, 26, 41, , 2, 
2018/4/18, 36, 41, , 2, 
2018/4/19, 29, 40, , 1, 
2018/4/20, 19, 44, , 2, 
2018/4/21, 36, 44, , 2, 
2018/4/22, 22, 38, , 1, 
2018/4/23, 31, 40, , 1, 
2018/4/24, 21, 48, , 1, 
2018/4/25, 27, 28, , 1, 
2018/4/26, 20, 39, , 2, 
2018/4/27, 19, 42, , 1, 
2018/4/28, 20, 43, , 2, 
2018/4/29, 27, 42, , 1, 
2018/4/30, 31, 48, , 1, 
2018/5/1, 17, 41, , 2, 
2018/5/2, 30, 42, , 2, 
2018/5/3, 27, 34, , 2, 
2018/5/4, 28, 45, , 3, 
2018/5/5, 22, 42, , 2, 
2018/5/6, 17, 44, , 2, 
2018/5/7, 17, 34, , 2, 
2018/5/8, 26, 28, , 1, 
2018/5/9, 21, 27, , 1, 
2018/5/10, 24, 30, , 2, 
2018/5/11, 23, 40, , 2, 
2018/5/12, 28, 44, , 1, 
2018/5/13, 21, 41, , 1, 
2018/5/14, 20, 27, , 1, 
2018/5/15, 19, 29, , 2, 
2018/5/16, 16, 31, , 1, 
2018/5/17, 9, 30, , 1, 
2018/5/18, 27, 29, , 1, 
2018/5/19, 26, 40, , 1, 
2018/5/20, 18, 40, , 2, 
2018/5/21, 19, 42, , 1, 
2018/5/22, 17, 40, , 1, 
2018/5/23, 17, 51, , 2, 
2018/5/24, 19, 44, , 1, 
2018/5/25, 17, 59, , 2, 
2018/5/26, 22, 45, , 1, 
2018/5/27, 18, 43, , 2, 
2018/5/28, 23, 38, , 2, 
2018/5/29, 20, 43, , 1, 
2018/5/30, 20, 46, , 1, 
2018/5/31, 23, 37, , 1, 
2018/6/1, 18, 34, , 1, 
2018/6/2, 16, 39, , 1, 
2018/6/3, 9, 54, , 2, 
2018/6/4, 19, 45, , 2, 
2018/6/5, 21, 37, , 2, 
2018/6/6, 17, 45, , 2, 
2018/6/7, 18, 39, , 1, 
2018/6/8, 16, 37, , 1, 
2018/6/9, 17, 40, , 1, 
2018/6/10, 17, 48, , 2, 
2018/6/11, 21, 32, , , 
2018/6/12, 16, 29, , 2, 
2018/6/13, 22, 20, , 2, 
2018/6/14, 22, 37, , 3, 
2018/6/15, 21, 39, , 2, 
2018/6/16, 26, 40, , 1, 
2018/6/17, 15, 40, , 2, 
2018/6/18, 25, 51, , 2, 
2018/6/19, 21, 46, , 1, 
2018/6/20, 20, 46, , 1, 
2018/6/21, 23, 26, , 1, 
2018/6/22, 12, 24, , 1, 
2018/6/23, 8, 24, , 1, 
2018/6/24, 6, 29, , 1, 
2018/6/25, 10, 30, , 1, 
2018/6/26, 9, 23, , 2, 
2018/6/27, 16, 22, , 1, 
2018/6/28, 15, 31, , 2, 
2018/6/29, 23, 26, , 3, 
2018/6/30, 14, 23, , 2, 
2018/1/1, 18, 19, 7, 3, 
2018/1/2, 19, 29, 5, 2, 
2018/1/3, 8, 29, 4, 1, 
2018/1/4, 9, 29, 4, 1, 
2018/1/5, 9, 22, 9, 6, 
2018/1/6, 34, 13, 10, 6, 
2018/1/7, 55, 8, 10, 4, 
2018/1/8, 33, 16, 14, 9, 
2018/1/9, 48, 17, 17, 9, 
2018/1/10, 73, 2, 14, 8, 
2018/1/11, 75, 6, 8, 4, 
2018/1/12, 38, 17, 5, 4, 
2018/1/13, 31, 15, 9, 9, 
2018/1/14, 51, 12, 14, 13, 
2018/1/15, 84, 23, , 4, 
2018/1/16, 13, 26, , 4, 
2018/1/17, 16, 28, , 3, 
2018/1/18, 11, 27, , 6, 
2018/1/19, 41, 21, , 4, 
2018/1/20, 34, 19, , 7, 
2018/1/21, 44, 23, , 8, 
