date,pm10,o3,no2,so2,co,city,pm25
2017-2-3,,, 28,, 12,wroclaw, 158
2017-2-4,,, 17,, 10,wroclaw, 156
2017-2-5,,, 24,, 7,wroclaw, 129
2017-2-6,,, 22,, 7,wroclaw, 145
2017-2-7,,, 22,, 6,wroclaw, 143
2017-2-8,,, 21,, 6,wroclaw, 112
2017-2-9,,, 25,, 7,wroclaw, 132
2017-2-10,,, 19,, 6,wroclaw, 152
2017-2-11,,, 19,, 7,wroclaw, 132
2017-2-12,,, 23,, 8,wroclaw, 151
2017-2-13,,, 32,, 15,wroclaw, 161
2017-2-14,,, 48,, 25,wroclaw, 193
2017-2-15,,, 47,, 19,wroclaw, 249
2017-2-16,,, 32,, 10,wroclaw, 192
2017-2-17,,, 20,, 7,wroclaw, 127
2017-2-18,,, 24,, 7,wroclaw, 70
2017-2-19,,, 25,, 7,wroclaw, 77
2017-2-20,,, 17,, 5,wroclaw, 75
2017-2-21,,, 19,, 6,wroclaw, 27
2017-2-22,,, 21,, 6,wroclaw, 33
2017-2-23,,, 16,, 5,wroclaw, 33
2017-2-24,,, 18,, 6,wroclaw, 32
2017-2-25,,, 19,, 6,wroclaw, 55
2017-2-26,,, 25,, 7,wroclaw, 45
2017-2-27,,, 25,, 7,wroclaw, 67
2017-2-28,,, 22,, 6,wroclaw, 64
2017-3-1,,, 16,, 5,wroclaw, 39
2017-3-2,,, 24,, 7,wroclaw, 26
2017-3-3,,, 24,, 7,wroclaw, 51
2017-3-4,,, 20,, 6,wroclaw, 74
2017-3-5,,, 28,, 9,wroclaw, 42
2017-3-6,,, 25,, 8,wroclaw, 75
2017-3-7,,, 21,, 7,wroclaw, 86
2017-3-8,,, 24,, 8,wroclaw, 85
2017-3-9,,, 24,, 8,wroclaw, 83
2017-3-10,,, 20,, 6,wroclaw, 85
2017-3-11,,, 18,, 7,wroclaw, 54
2017-3-12,,, 30,, 8,wroclaw, 76
2017-3-13,,, 28,, 11,wroclaw, 96
2017-3-14,,, 21,, 6,wroclaw, 132
2017-3-15,,, 23,, 7,wroclaw, 65
2017-3-16,,, 23,, 7,wroclaw, 57
2017-3-17,,, 15,, 6,wroclaw, 81
2017-3-18,,, 12,, 5,wroclaw, 34
2017-3-19,,, 20,, 7,wroclaw, 24
2017-3-20,,, 26,, 7,wroclaw, 48
2017-3-21,,, 24,, 6,wroclaw, 52
2017-3-22,,, 22,, 6,wroclaw, 39
2017-3-23,,, 32,, 7,wroclaw, 98
2017-3-24,,, 21,, 5,wroclaw, 92
2017-3-25,,, 23,, 6,wroclaw, 80
2017-3-26,,, 32,, 7,wroclaw, 54
2017-3-27,,, 37,, 8,wroclaw, 97
2017-3-28,,, 25,, 5,wroclaw, 111
2017-3-29,,, 21,, 5,wroclaw, 66
2017-3-30,,, 26,, 6,wroclaw, 76
2017-3-31,,, 24,, 4,wroclaw, 70
2016-10-1,,, 20,, 3,wroclaw, 63
2016-10-2,,, 21,, 3,wroclaw, 46
2016-10-3,,, 14,, 1,wroclaw, 44
2016-10-4,,, 15,, 2,wroclaw, 26
2016-10-5,,, 15,, 3,wroclaw, 34
