date, pm25, pm10, o3, no2, so2, co
2020/3/18, , , , 12, , 7
2020/3/19, , , , 8, , 6
2020/3/20, , , , 7, , 4
2020/3/21, , , , 3, , 2
2020/3/22, , , , 2, , 1
2020/3/23, , , , 7, , 2
2020/3/24, , , , 10, , 3
2020/3/25, , , , 6, , 3
2020/3/26, , , , 7, , 3
2020/3/27, , , , 13, , 4
2020/3/28, , , , 12, , 5
2019/10/1, , , , 10, , 4
2019/10/2, , , , 11, , 4
2019/10/3, , , , 12, , 4
2019/10/4, , , , 8, , 4
2019/10/5, , , , 5, , 6
2019/10/6, , , , 8, , 7
2019/10/7, , , , 16, , 4
2019/10/8, , , , 10, , 4
2019/10/9, , , , 9, , 4
2019/10/10, , , , 11, , 4
2019/10/11, , , , 7, , 5
2019/10/12, , , , 9, , 5
2019/10/13, , , , 5, 1, 4
2019/10/14, , , , 15, 1, 3
2019/10/15, , , , 15, 1, 2
2019/10/16, , , , 11, 1, 2
2019/10/17, , , , 14, 1, 3
2019/10/18, , , , 16, 1, 3
2019/10/19, , , , 11, 1, 3
2019/10/20, , , , 11, 2, 6
2019/10/21, , , , 19, 1, 6
2019/10/22, , , , 17, 1, 4
2019/10/23, , , , 10, 1, 5
2019/10/24, , , , 10, 1, 4
2019/10/25, , , , 14, 1, 2
2019/10/26, , , , 8, 1, 2
2019/10/27, , , , 6, 1, 3
2019/10/28, , , , 14, 1, 3
2019/10/29, , , , 27, 2, 8
2019/10/30, , , , 42, 3, 12
2019/10/31, , , , 24, 2, 4
2019/11/1, , , , 10, 1, 1
2019/11/2, , , , 5, 1, 3
2019/11/3, , , , 8, 1, 3
2019/11/4, , , , 11, 1, 2
2019/11/5, , , , 12, 1, 1
2019/11/6, , , , 11, 2, 2
2019/11/7, , , , 13, 2, 3
2019/11/8, , , , 12, 1, 3
2019/11/9, , , , 9, 1, 1
2019/11/10, , , , 6, 1, 2
2019/11/11, , , , 6, 2, 3
2019/11/12, , , , 16, 1, 2
2019/11/13, , , , 15, 1, 1
2019/11/14, , , , 11, 1, 2
2019/11/15, , , , 8, 2, 2
2019/11/16, , , , 11, 2, 3
2019/11/17, , , , 9, 2, 2
2019/11/18, , , , 10, 2, 4
2019/11/19, , , , 15, 2, 3
2019/11/20, , , , 11, 1, 2
2019/11/21, , , , 7, 1, 2
2019/11/22, , , , 7, 2, 2
2019/11/23, , , , 7, 1, 3
2019/11/24, , , , 6, 2, 3
2019/11/25, , , , 8, 2, 5
2019/11/26, , , , 10, 2, 4
2019/11/27, , , , 12, 2, 2
2019/11/28, , , , 9, 1, 2
2019/11/29, , , , 10, 1, 3
2019/11/30, , , , 10, 1, 4
2019/12/1, , , , 9, 2, 3
2019/12/2, , , , 13, 1, 3
2019/12/3, , , , 12, 2, 4
